sin_tod,cos_tod,sin_doy,cos_doy,frac_visible,slant_sat1,slant_sat2,slant_sat3,slant_sat4,slant_sat5,slant_sat6,slant_sat7,slant_sat8,slant_sat9,slant_sat10,slant_sat11,slant_sat12,slant_sat13,slant_sat14,slant_sat15,slant_sat16,slant_sat17,slant_sat18,slant_sat19,slant_sat20,slant_sat21,slant_sat22,slant_sat23,slant_sat24,slant_sat25,slant_sat26,slant_sat27,slant_sat28,slant_sat29,slant_sat30,slant_sat31,slant_sat32,slant_sat33,slant_sat34,slant_sat35,slant_sat36,slant_sat37,slant_sat38,slant_sat39,slant_sat40,max_slant_m
-0.5,-0.866025403784439,0.187718565437199,0.982222856682841,1,8850886.77887491,9995497.17227637,10890491.8356266,9036111.05080033,9417610.30674576,9444021.69444003,8756724.58475844,8032327.4022746,7948327.74590442,12626943.1739539,5671733.94005741,11352542.5433266,13317534.1943481,13505825.4468388,7376887.76376457,6926698.36745848,1466470.21074651,2851363.4204859,13186151.146276,3498937.3742644,13225532.5224409,10913010.0667934,12146175.2837963,8645128.00242463,7423037.6134823,3962734.04262292,13180530.7186783,12407481.110737,10299576.4932805,3286021.58686822,1499314.20476976,13217771.4831679,10956069.6419627,3023578.95142537,11853257.7088392,11052882.531754,12067217.3924177,11801367.5953178,7300919.32252238,6663831.46542379,13505825.4468388
-0.503773977045526,-0.863835505204396,0.187718565437199,0.982222856682841,1,8863773.82104892,10048984.4215655,10915626.1502299,8919657.17643134,9482046.04909835,9309621.71207798,8881057.68707331,8072867.76709855,7710835.5737848,12623726.9923499,5700498.23968842,11498626.0510298,13292768.2338654,13494278.0370186,7046195.53070895,7254820.74737204,1746532.70275871,3210981.60659119,13083581.6757602,3140104.3741088,13295332.6701863,11136346.4705454,11973750.4786966,8348215.89780641,7740475.23130337,4285120.72847626,13088824.2690954,12249126.6563409,10555947.3243673,3662148.43382023,1194211.49880332,13118124.0189819,10749329.9132124,3210985.07109966,12005218.6670143,10851717.5596917,12103995.1145044,11777127.7808497,7474415.70430918,6735100.79970412,13494278.0370186
-0.507538362960704,-0.861629160441526,0.187718565437199,0.982222856682841,1,8881301.02909678,10101673.4554359,10936078.5092781,8802745.37318973,9544974.55269903,9176341.00115031,9004802.92487646,8119350.51507995,7475337.6659461,12610776.3967679,5748442.45640412,11635864.5301292,13256517.9860197,13470908.0474974,6711159.07794009,7577658.97486419,2064590.19563078,3574472.5750804,12969703.3764557,2786046.75710401,13354208.5788427,11350708.8564152,11791562.5961182,8045092.42029839,8052162.76172647,4612195.86761752,12986366.8598933,12080763.7596499,10803120.1823322,4037497.26143632,961970.928350518,13007032.444784,10533888.6617434,3432136.15571182,12148200.3500694,10641725.9795729,12132715.6527248,11745219.2515463,7654380.87187032,6819420.8150032,13470908.0474974
-0.511293086077052,-0.859406411501453,0.187718565437199,0.982222856682841,1,8903453.80842514,10153281.7511445,10951699.8364169,8685871.21720296,9606131.98370534,9044723.08232293,9127484.58078633,8171369.39017507,7242890.96561083,12588167.356817,5814768.21550584,11764106.6064975,13208846.648954,13435748.5139014,6372385.09427105,7894757.20990898,2404781.36587721,3939709.00816199,12844606.8306831,2440382.54170918,13402100.1159528,11555884.5340014,11599776.6267278,7736121.66077892,8357739.78338463,4942025.77625336,12873258.1884534,11902553.0435205,11040875.9675045,4411108.93353333,864507.503202251,12884594.6223503,10309992.1873251,3680323.13330985,12281969.0108513,10423147.6714266,12153258.0195743,11705624.640709,7839788.14955964,6916124.49599304,13435748.5139014
-0.515038074910054,-0.857167300702112,0.187718565437199,0.982222856682841,1,8930186.69478014,10203532.221793,10962354.7892732,8569557.5522266,9665271.45841012,8915322.33724723,9248655.79091159,8228496.06062482,7014643.43187783,12555990.1555704,5898467.5169113,11883216.5298249,13149830.4234972,13388844.3572641,6030554.37709329,8205695.03362615,2758003.76777978,4305167.05337815,12708393.2949941,2108790.41181315,13438956.494751,11751671.6737542,11398567.9012305,7421692.87553939,8656867.18820329,5273076.647564,12749607.1378925,11714664.8823539,11269004.9599798,4782226.45001875,944797.026433834,12750918.2789385,10077904.1748159,3949726.44031042,12406306.5674038,10196239.6951867,12165515.9851647,11658341.353351,8029653.30777518,7024460.85514877,13438956.494751
-0.518773258160522,-0.854911870672946,0.187718565437199,0.982222856682841,1,8961423.77035609,10252154.2487728,10967921.9750347,8454353.91954641,9722163.23080667,8788701.86181414,9367897.98086009,8290285.24714534,6791840.40553633,12514349.5006873,5998366.17817967,11993073.7782916,13079558.6195567,13330252.458246,5686442.92378877,8510081.76019589,3118843.62302301,4669697.7999561,12561174.6734919,1800594.76588128,13464736.2905241,11937879.0711865,11188122.2301132,7102225.00273612,8949224.42405167,5604106.07171189,12615531.8130235,11517279.5378644,11487306.924788,5150222.48291833,1166444.34569561,12606120.93646,9837906.92396677,4235495.3325746,12521010.2037556,9961277.4233551,12169398.0144058,11603381.718249,8223037.78356365,7143613.76338449,13464736.2905241
-0.522498564715949,-0.852640164354092,0.187718565437199,0.982222856682841,1,8997059.41454434,10298884.6249321,10968294.1576971,8340835.54320208,9776594.79817089,8665430.84028184,9484820.16771502,8356279.64780627,6575829.38122448,12463364.6522692,6113169.49462161,12093572.7381937,12998133.7631255,13260041.7239996,5340951.11813347,8807552.13058795,3483898.35292589,5032394.15460353,12403073.4751347,1531456.30969342,13479407.4648527,12114325.9522649,10968636.0703673,6778172.65152226,9234507.40351399,5934086.57113044,12471159.5901819,11310587.3239791,11695591.2252238,5514556.44006885,1466111.95434547,12450329.8454468,9590302.84997585,4533668.87579022,12625892.0308217,9718555.92195891,12164827.2188157,11540773.1743973,8419050.15643317,7272720.11733501,13479407.4648527
-0.52621392365187,-0.850352224995563,0.187718565437199,0.982222856682841,1,9036959.36616617,10343468.4127961,10963378.4608119,8229601.7782802,9828370.93911946,8546081.39385915,9599058.17362789,8426014.57361051,6368062.03936918,12403169.5689325,6241506.40980403,12184622.4481899,12905671.7059417,13178293.1479713,4995144.60105091,9097763.02279144,3850898.74405148,5392510.48107256,12234222.7553008,1326669.03746854,13482947.3972767,12280841.811866,10740316.7281442,6450034.10798976,9512426.91145504,6262151.38634816,12316627.1820184,11094788.8073019,11893676.9392593,5874748.03003211,1804561.12059287,12283681.9239312,9335416.3172277,4841037.49559916,12720778.7972186,9468391.63653568,12151741.3236825,11470558.4964423,8616846.30100522,7410886.61633658,13482947.3972767
-0.529919264233205,-0.848048096156426,0.187718565437199,0.982222856682841,1,9080962.06717426,10385659.7226815,10953096.569285,8121273.92450698,9877313.69688261,8431224.86673511,9710273.78746429,8499022.23084028,6170092.03028064,12333913.074264,6381969.40291428,12266146.3997216,12802301.7408455,13085099.8634258,4650312.18461443,9380390.91841546,4218241.53783701,5749412.48359572,12054766.0420464,1220062.20818405,13475342.9237147,12437266.2791678,10503382.6083277,6118362.13569509,9782707.38890519,6587555.70273771,12152080.7187904,10870095.0510964,12081392.9751128,6230360.44680743,2162744.3836778,12106323.7013572,9073595.88572408,5154998.28951301,12805511.6409112,9211124.45372032,12130092.6516121,11392796.0640862,8815628.57684985,7557204.6603907,13475342.9237147
-0.533614515915611,-0.845727821703973,0.187718565437199,0.982222856682841,1,9128880.25213382,10425222.4160946,10937384.933941,8016492.30558341,9923262.31890248,8321427.52760354,9818153.90315598,8574835.60803448,5983566.64502738,12255759.0463694,6533148.36663762,12338082.3859279,12688166.7263747,12980567.1919927,4308048.81907152,9655129.93726354,4584731.56618181,6102545.02703451,11864857.2481354,1237786.01668044,13456590.3809086,12583449.0052395,10258063.5259635,5783778.69739435,10045086.0034006,6909648.64339206,11977675.8480028,10636727.9137319,12258578.1828407,6580989.37325967,2531293.21602971,11918411.2676656,8805217.07137688,5473426.84918577,12879945.874194,8947120.22932166,12099848.1240942,11307560.1810961,9014644.35143717,7710763.10504861,13456590.3809086
-0.537299608346824,-0.843391445812886,0.187718565437199,0.982222856682841,1,9180502.74203013,10461930.7494577,10916194.9898306,7915912.50883792,9966073.16254106,8217245.69253986,9922409.65547891,8652991.95331671,5810210.24676211,12168886.6301479,6693657.75446681,12400382.3868137,12563423.2252348,12864812.6902313,3970375.49514042,9921690.29782073,4949433.79641397,6451410.92445506,11664660.5764841,1375100.86544863,13426695.6579201,12719249.5650216,10004601.1074881,5446995.26379757,10299311.9285196,7227852.81608958,11793577.8616141,10394920.4237685,12425081.4540293,6926255.61243994,2905200.97012623,11720110.2331659,8530685.75392239,5794572.08078446,12943950.7983337,8676773.90152676,12060989.2896734,11214941.455986,9213184.08867372,7870658.79220132,13426695.6579201
